2021-07-06 05:26:47 install libss2:amd64 <none> 1.44.5-1+deb10u3
2021-07-06 05:26:47 status half-installed libss2:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 status unpacked libss2:amd64 1.44.5-1+deb10u3
2021-07-06 05:26:47 install findutils:amd64 <none> 4.6.0+git+20190209-2
2021-07-06 05:26:47 status half-installed findutils:amd64 4.6.0+git+20190209-2
2021-07-06 05:26:47 status unpacked findutils:amd64 4.6.0+git+20190209-2
2021-07-06 05:26:47 install gcc-8-base:amd64 <none> 8.3.0-6
2021-07-06 05:26:47 status half-installed gcc-8-base:amd64 8.3.0-6
2021-07-06 05:26:47 status unpacked gcc-8-base:amd64 8.3.0-6
2021-07-06 05:26:47 install libgcc1:amd64 <none> 1:8.3.0-6
2021-07-06 05:26:47 status half-installed libgcc1:amd64 1:8.3.0-6
2021-07-06 05:26:47 status unpacked libgcc1:amd64 1:8.3.0-6
2021-07-06 05:26:47 install libstdc++6:amd64 <none> 8.3.0-6
2021-07-06 05:26:47 status half-installed libstdc++6:amd64 8.3.0-6
2021-07-06 05:26:47 status unpacked libstdc++6:amd64 8.3.0-6
2021-07-06 05:26:47 install libc-bin:amd64 <none> 2.28-10
2021-07-06 05:26:47 status half-installed libc-bin:amd64 2.28-10
2021-07-06 05:26:47 status unpacked libc-bin:amd64 2.28-10
2021-07-06 05:26:47 upgrade libc6:amd64 2.28-10 2.28-10
2021-07-06 05:26:47 status half-configured libc6:amd64 2.28-10
2021-07-06 05:26:47 status unpacked libc6:amd64 2.28-10
2021-07-06 05:26:47 status half-installed libc6:amd64 2.28-10
2021-07-06 05:26:48 status unpacked libc6:amd64 2.28-10
2021-07-06 05:26:48 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2021-07-06 05:26:48 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2021-07-06 05:26:48 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2021-07-06 05:26:48 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2021-07-06 05:26:48 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2021-07-06 05:26:48 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2021-07-06 05:26:48 install libgnutls30:amd64 <none> 3.6.7-4+deb10u7
2021-07-06 05:26:48 status half-installed libgnutls30:amd64 3.6.7-4+deb10u7
2021-07-06 05:26:48 status unpacked libgnutls30:amd64 3.6.7-4+deb10u7
2021-07-06 05:26:48 install grep:amd64 <none> 3.3-1
2021-07-06 05:26:48 status half-installed grep:amd64 3.3-1
2021-07-06 05:26:49 status unpacked grep:amd64 3.3-1
2021-07-06 05:26:49 install gzip:amd64 <none> 1.9-3
2021-07-06 05:26:49 status half-installed gzip:amd64 1.9-3
2021-07-06 05:26:49 status unpacked gzip:amd64 1.9-3
2021-07-06 05:26:49 install hostname:amd64 <none> 3.21
2021-07-06 05:26:49 status half-installed hostname:amd64 3.21
2021-07-06 05:26:49 status unpacked hostname:amd64 3.21
2021-07-06 05:26:49 install init-system-helpers:all <none> 1.56+nmu1
2021-07-06 05:26:49 status half-installed init-system-helpers:all 1.56+nmu1
2021-07-06 05:26:49 status unpacked init-system-helpers:all 1.56+nmu1
2021-07-06 05:26:49 install libcap-ng0:amd64 <none> 0.7.9-2
2021-07-06 05:26:49 status half-installed libcap-ng0:amd64 0.7.9-2
2021-07-06 05:26:49 status unpacked libcap-ng0:amd64 0.7.9-2
2021-07-06 05:26:49 install libffi6:amd64 <none> 3.2.1-9
2021-07-06 05:26:49 status half-installed libffi6:amd64 3.2.1-9
2021-07-06 05:26:49 status unpacked libffi6:amd64 3.2.1-9
2021-07-06 05:26:49 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2021-07-06 05:26:49 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2021-07-06 05:26:49 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2021-07-06 05:26:49 install libgpg-error0:amd64 <none> 1.35-1
2021-07-06 05:26:49 status half-installed libgpg-error0:amd64 1.35-1
2021-07-06 05:26:49 status unpacked libgpg-error0:amd64 1.35-1
2021-07-06 05:26:49 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2021-07-06 05:26:49 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2021-07-06 05:26:49 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2021-07-06 05:26:49 install libseccomp2:amd64 <none> 2.3.3-4
2021-07-06 05:26:49 status half-installed libseccomp2:amd64 2.3.3-4
2021-07-06 05:26:49 status unpacked libseccomp2:amd64 2.3.3-4
2021-07-06 05:26:49 install libselinux1:amd64 <none> 2.8-1+b1
2021-07-06 05:26:49 status half-installed libselinux1:amd64 2.8-1+b1
2021-07-06 05:26:49 status unpacked libselinux1:amd64 2.8-1+b1
2021-07-06 05:26:49 install libsemanage-common:all <none> 2.8-2
